section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px]
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1,1629306773912061541,1629306774471875541,559,524.718,364.622
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,2,1629306774499824541,1629306774823844541,324,469.964,509.7
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,3,1629306774855833541,1629306775079797541,223,425.872,610.66
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,4,1629306775116004541,1629306775415824541,299,482.115,575.077
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,5,1629306775439860541,1629306775595862541,156,508.334,552.505
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,6,1629306775835865541,1629306776091862541,255,912.727,552.563
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,7,1629306776375872541,1629306776527859541,151,596.407,1036.441
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,8,1629306776799870541,1629306777055812541,255,579.713,1014.293
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,9,1629306777483856541,1629306777583872541,100,549.9,480.755
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,10,1629306777615846541,1629306778023869541,408,451.607,716.858
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,11,1629306778291838541,1629306778443867541,152,493.601,610.162
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,12,1629306778451856541,1629306778663837541,211,490.112,688.03
