section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll,pitch
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774386012541,-4.207317,5.365854,6.036585,-0.064087,-0.963745,-0.057129,7.055009126864263,89.55235855949206
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774390952541,-4.45122,5.426829,5.97561,-0.07074,-0.982178,-0.040649,7.112894983881489,89.10372934067192
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774395892541,-4.085366,5.54878,5.731708,-0.071411,-1.000488,-0.029968,7.171302812970055,88.65696447650339
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774400832541,-3.47561,5.243903,5.304878,-0.077087,-1.009888,-0.032104,7.2304508824437335,88.21346207799775
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774405772541,-3.109756,4.878049,4.878049,-0.078735,-1.012512,-0.031799,7.288499674593311,87.77192666142184
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774410712541,-3.109756,4.634146,4.573171,-0.080444,-1.005371,-0.036194,7.346388418720409,87.33060030533198
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774415652541,-2.865854,4.512195,4.45122,-0.078857,-0.993164,-0.041321,7.403523030283651,86.89061582959255
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774420592541,-2.926829,4.390244,4.268293,-0.08075,-0.989441,-0.04834,7.46106738647191,86.45058018860152
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774425532541,-3.04878,4.512195,4.390244,-0.079712,-0.991516,-0.052551,7.518851260372941,86.01010580635386
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774430472541,-3.658537,4.573171,4.329268,-0.080566,-0.996094,-0.056396,7.577230319759565,85.56685412988429
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774435412541,-4.45122,4.573171,4.329268,-0.080444,-0.994995,-0.059143,7.635696539487668,85.11992716993694
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774440352541,-5.060976,4.695122,4.390244,-0.078918,-0.989136,-0.058472,7.694430545985028,84.67021698150734
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774445292541,-6.097561,5.0,4.573171,-0.078186,-0.981262,-0.063843,7.7548028651634695,84.21567529023201
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774450232541,-7.134147,5.426829,4.817073,-0.076904,-0.984741,-0.074646,7.816839789244881,83.75627877076698
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774455172541,-8.04878,6.036585,5.060976,-0.078125,-0.985474,-0.086792,7.88261709172636,83.29274222315888
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774460112541,-9.146341,6.402439,5.54878,-0.081787,-0.98938,-0.096436,7.952010273872986,82.82428149590021
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774465052541,-10.243902,6.95122,6.097561,-0.086304,-1.006592,-0.096741,8.025819741124963,82.35092021701956
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774469992541,-11.158537,7.439024,6.158537,-0.090332,-1.024414,-0.09613,8.103175290595772,81.87352529786699
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774474932541,-11.829268,7.743903,6.219512,-0.092041,-1.038574,-0.097534,8.182341397923096,81.39325011965968
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774479872541,-12.317074,7.865854,6.219512,-0.095825,-1.051819,-0.09137,8.263198079896966,80.91109130925798
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774484812541,-12.439025,7.865854,5.609756,-0.098938,-1.061279,-0.087646,8.344503711165146,80.42879410863372
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774489752541,-12.073171,7.743903,5.182927,-0.102905,-1.068665,-0.085815,8.426155935009263,79.94883568817392
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774494692541,-11.402439,7.682927,4.695122,-0.102234,-1.073669,-0.079102,8.506607156904948,79.47255849938483
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774499632541,-10.365854,7.317073,4.146341,-0.102417,-1.077881,-0.075745,8.584645625795332,79.00180452996989
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774504572541,-9.02439,7.012195,3.780488,-0.106689,-1.081421,-0.072144,8.662297866432937,78.53825718430306
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774509512541,-7.621952,6.52439,3.414634,-0.111938,-1.079102,-0.06958,8.739248506036631,78.08228842549715
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774514452541,-6.097561,6.219512,2.987805,-0.108826,-1.070618,-0.07489,8.813330720756824,77.63417872637717
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774519392541,-4.573171,6.097561,2.560976,-0.107483,-1.064636,-0.075562,8.885959044348937,77.19398265573886
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774524332541,-3.353659,5.97561,2.621951,-0.108765,-1.064636,-0.074585,8.958421425649362,76.76035062156558
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774529272541,-2.134146,6.036585,2.987805,-0.10022,-1.064453,-0.080811,9.02813875548415,76.33294801261388
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774534212541,-1.463415,5.914634,3.47561,-0.098755,-1.064331,-0.076477,9.097116776228773,75.90938287640944
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774539152541,-1.036585,6.097561,4.268293,-0.102478,-1.06842,-0.074036,9.169099517022403,75.48867140000812
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774544092541,-0.548781,6.097561,4.329268,-0.100952,-1.0672,-0.069824,9.240468876481998,75.0708315766691
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774549032541,-0.121951,6.036585,4.268293,-0.101257,-1.072327,-0.067017,9.311259368426704,74.65559002884754
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774553972541,-0.182927,5.97561,3.963415,-0.099304,-1.068176,-0.064087,9.38059716671512,74.24044494371594
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774558912541,-0.548781,5.792683,4.085366,-0.100403,-1.067383,-0.061462,9.449529532560916,73.82408471983314
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774563852541,-1.097561,5.487805,3.841464,-0.102539,-1.063599,-0.060486,9.517508513012984,73.40559334177632
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774568792541,-1.829268,5.060976,3.292683,-0.108398,-1.069946,-0.057251,9.584561930772594,72.98413194169405
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774573732541,-2.560976,4.573171,2.804878,-0.108765,-1.069702,-0.054199,9.648556770628574,72.55954366849926
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774578672541,-3.414634,4.085366,2.134146,-0.109924,-1.071594,-0.058044,9.709463939947284,72.13119820488964
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774583612541,-4.207317,3.597561,1.036585,-0.106689,-1.067139,-0.06012,9.765112579763127,71.69917028593107
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774588552541,-5.121951,3.109756,0.304878,-0.104126,-1.064697,-0.061707,9.816187179252893,71.26296907806741
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774593492541,-6.097561,2.865854,-0.487805,-0.1026,-1.062683,-0.066223,9.864102869851166,70.82229740095238
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774598432541,-7.134147,2.560976,-1.402439,-0.09845,-1.061462,-0.072876,9.907274174873635,70.37673605642351
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774603372541,-8.231708,2.560976,-1.829268,-0.095642,-1.063599,-0.079773,9.948290556259195,69.92612238263936
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774608312541,-9.146341,2.743902,-2.195122,-0.089844,-1.063599,-0.088928,9.986996199532598,69.47126938850272
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774613252541,-10.243902,3.04878,-2.378049,-0.082764,-1.058289,-0.098145,10.02391388706701,69.01129674792341
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774618192541,-11.463415,3.414634,-2.682927,-0.079895,-1.05249,-0.106079,10.060738481710956,68.54570981427801
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774623132541,-12.560976,3.780488,-2.926829,-0.075439,-1.0495,-0.114929,10.09683060011264,68.07507860954334
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774628072541,-13.658537,4.390244,-2.926829,-0.070068,-1.053223,-0.117004,10.13308850460217,67.5994570031259
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774633012541,-14.817074,5.182927,-2.987805,-0.06427,-1.059082,-0.121948,10.170030605477649,67.11850020116918
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774637952541,-15.609756,6.036585,-2.987805,-0.061646,-1.064514,-0.122192,10.209231669698795,66.63413644484459
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774642892541,-15.792684,7.560976,-2.987805,-0.064148,-1.065979,-0.123352,10.255810572828665,66.14940649532178
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774647832541,-15.670732,9.45122,-2.804878,-0.064575,-1.051147,-0.137512,10.31149021639365,65.6656738117928
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774652772541,-15.304878,11.707317,-1.463415,-0.059509,-1.029785,-0.16217,10.378357317210401,65.18415941191552
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774657712541,-15.182927,14.512196,0.853659,-0.05011,-1.01239,-0.179871,10.458934786527209,64.70377050223726
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774662652541,-14.939025,17.865854,3.963415,-0.04071,-1.008362,-0.191772,10.556974113318972,64.22529491732448
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774667592541,-15.0,21.341463,7.073171,-0.045837,-1.023621,-0.186157,10.678238873517301,63.74761416986081
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306774672532541,-14.878049,24.756098,9.45122,-0.050781,-1.040039,-0.177429,10.820687191413327,63.27144067954083
